LastSeen,IP,UID,Name,SW,Vdd,CpuTemp,AccTemp,WakeUp,AccDataX,AccDataY,AccDataZ
12/08/2016 03:21:28,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3046,21,255,TIME,0.00,-1.02.00,0.00
12/08/2016 02:56:12,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2917,20,13,TIME,0.00,-1.38.00,0.00
12/08/2016 02:55:57,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3045,21,255,TIME,0.00,-1.38.00,0.00
12/08/2016 02:01:47,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2929,24,16,TIME,0.00,-1.38.00,0.00
12/08/2016 01:34:38,62.149.145.22,00080011-4D335719-20303038,free_1,0.8,2755,29,23,TIME,0.00,0.00,1.07
11/08/2016 23:06:11,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3052,23,255,TIME,0.00,-1.04.00,0.00
11/08/2016 23:02:13,62.149.145.23,00440005-4D335719-20303038,corridoio,0.7,3055,24,255,TIME,0.00,-1.02.00,0.00
11/08/2016 22:46:08,62.149.145.23,0008800D-4D335719-20303038,bagno,0.7,3044,26,255,TIME,0.00,-1.38.00,0.00
11/08/2016 22:27:35,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2831,23,16,TIME,0.00,-1.01.00,0.00
11/08/2016 22:21:53,62.149.145.23,00228019-4D335719-20303038,camera_manu,0.7,3046,23,255,TIME,0.00,-1.02.00,0.00
11/08/2016 21:58:05,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2936,23,16,TIME,0.00,-1.38.00,0.00
11/08/2016 21:54:09,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3047,25,255,TIME,0.00,-1.38.00,0.00
11/08/2016 21:01:17,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2955,29,21,TIME,0.00,-1.00.00,0.00
11/08/2016 20:35:51,62.149.145.19,00080011-4D335719-20303038,free_1,0.8,2756,29,22,TIME,0.00,0.00,1.07
11/08/2016 18:03:36,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3050,29,255,TIME,0.00,-1.05.00,0.00
11/08/2016 18:02:34,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3048,30,255,TIME,0.00,-1.03.00,0.00
11/08/2016 17:51:00,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,2965,40,34,TIME,0.00,-1.39.00,0.00
11/08/2016 17:32:56,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2863,28,20,TIME,0.00,-1.01.00,0.00
11/08/2016 17:22:26,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3046,28,255,TIME,0.00,-1.02.00,0.00
11/08/2016 16:59:59,62.149.145.21,0010800B-4D335719-20303038,sala_small,0.8,2958,28,21,TIME,0.00,-1.38.00,0.00
11/08/2016 16:52:34,62.149.145.21,00310015-4D335719-20303038,sala_big,0.7,3045,29,255,TIME,0.00,-1.38.00,0.00
11/08/2016 16:01:06,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2981,37,30,TIME,0.00,-1.38.00,0.00
11/08/2016 15:37:06,62.149.145.20,00080011-4D335719-20303038,free_1,0.8,2758,29,23,TIME,0.00,0.00,1.07
11/08/2016 13:02:52,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3048,27,255,TIME,0.00,-1.04.00,0.00
11/08/2016 13:01:19,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3058,31,26,TIME,0.00,-1.04.00,0.00
11/08/2016 12:55:54,62.149.145.20,0008800D-4D335719-20303038,bagno,0.7,3044,28,255,TIME,0.00,-1.39.00,0.00
11/08/2016 12:38:25,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2961,33,26,TIME,0.00,-1.01.00,0.00
11/08/2016 12:23:18,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3053,34,28,TIME,0.00,-1.02.00,0.00
11/08/2016 12:02:02,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2983,36,30,TIME,0.00,-1.38.00,0.00
11/08/2016 11:51:21,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3032,37,29,TIME,0.00,-1.38.00,0.00
11/08/2016 11:01:21,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2939,30,22,TIME,0.00,-1.00.00,0.00
11/08/2016 10:38:19,62.149.145.22,00080011-4D335719-20303038,free_1,0.8,2759,29,23,TIME,0.00,0.00,1.07
11/08/2016 08:03:07,62.149.145.21,00440005-4D335719-20303038,corridoio,0.7,3050,23,255,TIME,0.00,-1.03.00,0.00
11/08/2016 08:00:11,62.149.145.21,0008800D-4D335719-20303038,bagno,0.7,3049,24,255,TIME,0.00,-1.39.00,0.00
11/08/2016 07:59:43,62.149.145.21,00080003-4D335719-20303038,camera_max,0.7,3048,28,255,TIME,0.00,-1.03.00,0.00
11/08/2016 07:44:10,62.149.145.21,0007800C-4D335719-20303038,studiolo,0.8,2889,23,15,TIME,0.00,-1.01.00,0.00
11/08/2016 07:24:49,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3040,26,255,TIME,0.00,-1.00.00,0.00
11/08/2016 07:04:32,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2927,23,16,TIME,0.00,-1.38.00,0.00
